id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
19,2420,4.571134393865412e-06,3.667042339407818e-06,7.679344208772517e-06,3.256720685781374e-06,5.755345683452512e-06,2.039106868825615e-06
20,2535,4.890355367867434e-06,3.667042339407818e-06,1.1937199729904385e-05,3.256720685781374e-06,5.635519234621548e-06,2.039106868825615e-06
21,2656,4.351228834634804e-06,3.667042339407818e-06,9.28342342376709e-06,3.256720685781374e-06,5.815582103039845e-06,2.039106868825615e-06
22,2782,4.953227396237601e-06,3.667042339407818e-06,1.1754498731995726e-05,3.256720685781374e-06,6.037080656445172e-06,2.039106868825615e-06
23,2915,5.3255267658528085e-06,3.667042339407818e-06,1.5488210714088296e-05,3.256720685781374e-06,6.05076091367221e-06,2.039106868825615e-06
24,3053,4.618042147124434e-06,3.667042339407818e-06,9.480125584682011e-06,3.256720685781374e-06,1.574218605058997e-05,2.039106868825615e-06
25,3199,4.7446713294040865e-06,3.667042339407818e-06,1.1324770713679751e-05,3.256720685781374e-06,6.133148393693586e-06,2.039106868825615e-06
26,3351,4.610848832365222e-06,3.667042339407818e-06,5.541328742090747e-06,3.256720685781374e-06,5.8764381146864975e-06,2.039106868825615e-06
27,3511,4.953348001704464e-06,3.667042339407818e-06,1.0226126648835802e-05,3.256720685781374e-06,5.687277937030494e-06,2.039106868825615e-06
28,3678,5.243912282490484e-06,3.667042339407818e-06,1.2153902411655345e-05,3.256720685781374e-06,5.909124750880977e-06,2.039106868825615e-06
29,3853,5.275096145816014e-06,3.667042339407818e-06,1.1386977769231412e-05,3.256720685781374e-06,6.05111675326805e-06,2.039106868825615e-06
30,4037,4.8274299370229675e-06,3.667042339407818e-06,1.2222953382505767e-05,3.256720685781374e-06,5.84140283387576e-06,2.039106868825615e-06
31,4229,5.075175532721887e-06,3.667042339407818e-06,9.433460393451465e-06,3.256720685781374e-06,5.8505292140611605e-06,2.039106868825615e-06
32,4430,5.16905472456198e-06,3.667042339407818e-06,9.983979821474235e-06,3.256720685781374e-06,5.8808122208640485e-06,2.039106868825615e-06
33,4641,5.180582458719666e-06,3.667042339407818e-06,1.1592352089761685e-05,3.256720685781374e-06,5.9640091622962286e-06,2.039106868825615e-06
34,4862,5.194994707943137e-06,3.667042339407818e-06,1.1460323090516015e-05,3.256720685781374e-06,6.4488253638558995e-06,2.039106868825615e-06
35,5094,3.569791679247529e-05,3.667042339407818e-06,1.2225574917263455e-05,3.256720685781374e-06,1.4409112799247199e-05,2.039106868825615e-06
36,5336,5.017826403456292e-06,3.667042339407818e-06,1.2748691810482087e-05,3.256720685781374e-06,6.06408004817934e-06,2.039106868825615e-06
37,5590,5.3135781467280786e-06,3.667042339407818e-06,1.2838094093718555e-05,3.256720685781374e-06,6.108420479489567e-06,2.039106868825615e-06
