id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
20,2535,0.00010974825721755771,0.001161051537367907,1.990489470653045e-06,6.132902150178767e-08,4.981866719924957e-06,1.7341771924243588e-06
21,2656,0.00011518866900938102,0.001161051537367907,1.9865222724087267e-06,6.132902150178767e-08,4.938567977353751e-06,1.7341771924243588e-06
22,2782,0.00012028251595843361,0.001161051537367907,1.9795940901031606e-06,6.132902150178767e-08,4.895379610150774e-06,1.7341771924243588e-06
23,2915,0.00012670839221358911,0.001161051537367907,1.975643491663205e-06,6.132902150178767e-08,5.172251837126796e-06,1.7341771924243588e-06
24,3053,0.000131784483443859,0.001161051537367907,2.083526921201994e-06,6.132902150178767e-08,5.040292149483475e-06,1.7341771924243588e-06
25,3199,0.00013867397910544707,0.001161051537367907,2.0087827328929084e-06,6.132902150178767e-08,4.8199457166790405e-06,1.7341771924243588e-06
26,3351,0.00014401677472311786,0.001161051537367907,1.9334601274500033e-06,6.132902150178767e-08,5.109813169947812e-06,1.7341771924243588e-06
27,3511,0.0001530640487214569,0.001161051537367907,1.9583461699544177e-06,6.132902150178767e-08,1.533294260518838e-05,1.7341771924243588e-06
28,3678,0.00015912313964329316,0.001161051537367907,1.926601030309282e-06,6.132902150178767e-08,5.1095344373361775e-06,1.7341771924243588e-06
29,3853,0.00017270260961093503,0.001161051537367907,2.017121422671356e-06,6.132902150178767e-08,5.200346692518664e-06,1.7341771924243588e-06
30,4037,0.0001748186366109822,0.001161051537367907,2.076314586443803e-06,6.132902150178767e-08,5.096854152495181e-06,1.7341771924243588e-06
31,4229,0.00018315705375824732,0.001161051537367907,2.1116027146486224e-06,6.132902150178767e-08,5.211664390609067e-06,1.7341771924243588e-06
32,4430,0.00019418100740247601,0.001161051537367907,2.0656844025002644e-06,6.132902150178767e-08,5.078531011232673e-06,1.7341771924243588e-06
33,4641,0.00020114714358033254,0.001161051537367907,2.065266907356392e-06,6.132902150178767e-08,5.006070949732808e-06,1.7341771924243588e-06
34,4862,0.00021305117573771444,0.001161051537367907,2.0625021466498806e-06,6.132902150178767e-08,5.257909359729913e-06,1.7341771924243588e-06
35,5094,0.0002199685662505109,0.001161051537367907,1.976852282197231e-06,6.132902150178767e-08,5.093189983869657e-06,1.7341771924243588e-06
36,5336,0.0002316375901137871,0.001161051537367907,1.9371509552001953e-06,6.132902150178767e-08,5.314509193042944e-06,1.7341771924243588e-06
37,5590,0.0002452562021654706,0.001161051537367907,1.965097963063576e-06,6.132902150178767e-08,1.2881725973221399e-05,1.7341771924243588e-06
38,5857,0.00025316955328028376,0.001161051537367907,1.9096689092353768e-06,6.132902150178767e-08,5.347585849068323e-06,1.7341771924243588e-06
39,6135,0.00027011460954810704,0.001161051537367907,1.9265076156156086e-06,6.132902150178767e-08,5.1804645914514565e-06,1.7341771924243588e-06
40,6428,0.000281327655023125,0.001161051537367907,2.005119537372506e-06,6.132902150178767e-08,5.1549672338631704e-06,1.7341771924243588e-06
41,6734,0.00029364434483853584,0.001161051537367907,2.141695614557858e-06,6.132902150178767e-08,5.403788605959931e-06,1.7341771924243588e-06
42,7054,0.00030821492525278624,0.001161051537367907,1.9655168174784753e-06,6.132902150178767e-08,5.138910692137634e-06,1.7341771924243588e-06
43,7390,0.0003216130162446844,0.001161051537367907,1.965485341816697e-06,6.132902150178767e-08,5.315798706550237e-06,1.7341771924243588e-06
44,7742,0.00033751137033047156,0.001161051537367907,2.202677252495267e-06,6.132902150178767e-08,1.07491610740636e-05,1.7341771924243588e-06
45,8111,0.00035563580514529,0.001161051537367907,1.9320693854970537e-06,6.132902150178767e-08,5.407936548631151e-06,1.7341771924243588e-06
