id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
28,3678,5.58676053286247e-06,1.8745958496155866e-06,1.233553614157448e-05,3.1089527984793405e-06,6.884385088723013e-06,1.5765091566104325e-06
29,3853,5.674028037710064e-06,1.8745958496155866e-06,1.2083051113719727e-05,3.1089527984793405e-06,6.908136561354383e-06,1.5765091566104325e-06
30,4037,5.827110711967765e-06,1.8745958496155866e-06,1.2507319361790886e-05,3.1089527984793405e-06,6.883605624414594e-06,1.5765091566104325e-06
31,4229,5.747753836973871e-06,1.8745958496155866e-06,1.2734675413047374e-05,3.1089527984793405e-06,6.978239509111658e-06,1.5765091566104325e-06
32,4430,5.59320299135643e-06,1.8745958496155866e-06,1.1736813840155676e-05,3.1089527984793405e-06,6.92888522524866e-06,1.5765091566104325e-06
33,4641,6.5949630490717925e-06,1.8745958496155866e-06,1.3039456798814027e-05,3.1089527984793405e-06,1.1615366854561836e-05,1.5765091566104325e-06
34,4862,6.02656654348495e-06,1.8745958496155866e-06,1.4345521350203106e-05,3.1089527984793405e-06,6.8083166438628005e-06,1.5765091566104325e-06
35,5094,5.6898448810794566e-06,1.8745958496155866e-06,1.0911324092533993e-05,3.1089527984793405e-06,6.773867792459764e-06,1.5765091566104325e-06
36,5336,6.45146555807637e-06,1.8745958496155866e-06,1.2984429521003049e-05,3.1089527984793405e-06,7.120297587793628e-06,1.5765091566104325e-06
37,5590,7.320218094772858e-06,1.8745958496155866e-06,1.016119511694729e-05,3.1089527984793405e-06,6.874302845308307e-06,1.5765091566104325e-06
38,5857,6.4618477178999885e-06,1.8745958496155866e-06,1.3612410467355268e-05,3.1089527984793405e-06,6.838668750295953e-06,1.5765091566104325e-06
39,6135,6.255116419959282e-06,1.8745958496155866e-06,1.3584806944358223e-05,3.1089527984793405e-06,6.844614614970138e-06,1.5765091566104325e-06
40,6428,6.075445435102044e-06,1.8745958496155866e-06,1.0876345500934176e-05,3.1089527984793405e-06,7.475394229378549e-06,1.5765091566104325e-06
41,6734,6.001180451101105e-06,1.8745958496155866e-06,1.3057648126541559e-05,3.1089527984793405e-06,1.1555547348851792e-05,1.5765091566104325e-06
42,7054,6.410228587562381e-06,1.8745958496155866e-06,7.717779076805797e-06,3.1089527984793405e-06,6.9400288749761885e-06,1.5765091566104325e-06
43,7390,6.2097554600448504e-06,1.8745958496155866e-06,1.413751196958054e-05,3.1089527984793405e-06,7.0281538492287934e-06,1.5765091566104325e-06
44,7742,7.362705704716865e-06,1.8745958496155866e-06,1.3485277570578147e-05,3.1089527984793405e-06,6.999103513622555e-06,1.5765091566104325e-06
