id,size,result_PN,time_PN,result_PS,time_PS
42,13965,13965,0.009242057800292969,13965,0.002797842025756836
43,14869,14868,0.009782075881958008,14868,0.0029840469360351562
44,15833,15832,0.010823249816894531,15832,0.003172159194946289
45,16858,16858,0.012243270874023438,16858,0.0033788681030273438
46,17951,17951,0.013269186019897461,17951,0.003648042678833008
47,19114,19114,0.014467000961303711,19114,0.0038290023803710938
48,20352,20352,0.016475200653076172,20352,0.004066944122314453
49,21670,21670,0.018336057662963867,21670,0.0043871402740478516
50,23074,23074,0.021136760711669922,23074,0.00466609001159668
51,24569,24569,0.022684812545776367,24569,0.004971981048583984
52,26161,26161,0.025017261505126953,26161,0.0052340030670166016
53,27855,27855,0.027814149856567383,27855,0.005593061447143555
54,29660,29659,0.03070211410522461,29659,0.0060176849365234375
55,31582,31582,0.03383684158325195,31582,0.006208896636962891
56,33628,33627,0.03733706474304199,33627,0.0069119930267333984
57,35806,35805,0.04160618782043457,35805,0.007122993469238281
58,38126,38126,0.047605037689208984,38126,0.007784843444824219
59,40596,40595,0.05254101753234863,40595,0.008031845092773438
60,43226,43225,0.05799603462219238,43225,0.008900165557861328
61,46026,46026,0.0637061595916748,46026,0.009115934371948242
62,49008,49007,0.07185101509094238,49007,0.010123014450073242
63,52183,52182,0.07950401306152344,52182,0.010381937026977539
64,55564,55564,0.08859539031982422,55564,0.011658906936645508
65,59164,59163,0.09890913963317871,59163,0.015285015106201172
66,62997,62997,0.11348986625671387,62997,0.012825250625610352
67,67078,67078,0.12411284446716309,67078,0.013629913330078125
68,71423,71423,0.13798809051513672,71423,0.014445066452026367
69,76051,76051,0.15750908851623535,76051,0.01557612419128418
70,80978,80978,0.17548012733459473,80978,0.016431093215942383
71,86224,86223,0.19519376754760742,86223,0.017530202865600586
72,91810,91810,0.2224419116973877,91810,0.01883697509765625
73,97758,97758,0.250856876373291,97758,0.02006983757019043
74,104091,104091,0.282088041305542,104091,0.02118206024169922
75,110835,110834,0.3167407512664795,110834,0.022608041763305664
76,118015,118015,0.3584020137786865,118015,0.02398514747619629
77,125661,125661,0.412416934967041,125661,0.025425195693969727
78,133802,133801,0.4598219394683838,133801,0.027643203735351562
79,142471,142471,0.5252420902252197,142471,0.02909111976623535
80,151701,151701,0.5994341373443604,151701,0.031035900115966797
81,161529,161529,0.6823461055755615,161529,0.03247880935668945
82,171993,171992,0.7791059017181396,171992,0.034893035888671875
83,183136,183136,0.8939411640167236,183136,0.03784489631652832
84,195001,195000,1.0237300395965576,195000,0.03954505920410156
85,207634,207634,1.1812119483947754,207634,0.0429530143737793
86,221086,221086,1.3599588871002197,221086,0.04492616653442383
87,235409,235409,1.561906099319458,235409,0.04835629463195801
88,250660,250659,1.7972190380096436,250659,0.05088496208190918
89,266899,266898,2.061612844467163,266898,0.05428194999694824
90,284191,284191,2.3738210201263428,284191,0.05821108818054199
91,302602,302602,2.711625814437866,302602,0.06197404861450195
92,322207,322207,3.1020641326904297,322207,0.06582403182983398
93,343081,343081,3.542279005050659,343081,0.07032108306884766
94,365308,365308,4.040366888046265,365308,0.07366037368774414
95,388975,388975,4.630297899246216,388975,0.08662104606628418
96,414175,414175,5.237076997756958,414175,0.0843660831451416
97,441007,441007,5.973440885543823,441007,0.09026312828063965
98,469578,469577,6.779242038726807,469577,0.09661006927490234
99,500001,500001,7.6738200187683105,500001,0.1036689281463623
